JCAT,TDate,TF,Program,Plane,Att,Mvr,Class,Category,Result,Control,Discipline,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,DispEpoch,DispPeri,DispApo,DispInc,Comment,,,,,
S09415,1976-091A,[DMSP 5D-1 F1],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S10033,1977-044A,[DMSP 5D-1 F2],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S10820,1978-042A,[DMSP 5D-1 F3],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S11389,1979-050A,[DMSP 5D-1 F4],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S13736,1982-118A,[DMSP 5D-2 F6],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S14506,1983-113A,[DMSP 5D-2 F7],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S18123,1987-053A,[DMSP 5D-2 F8],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S18822,1988-006A,[DMSP 5D-2 F9],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S24753,1997-012A,[DMSP 5D-2 F14],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S25991,1999-067A,[DMSP 5D-2 F15],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S28054,2003-048A,[DMSP 5D-3 F16],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S29522,2006-050A,[DMSP 5D-3 F17],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
S35951,2009-057A,[DMSP 5D-3 F18],1/23/1970,6/17/1971,6/17/1971,1971 Jun 17,-,ITOS,-,-,-,C,MET,U,-,-,US,A/AC.105/INF.223,115,1428,1489,101.9,2/4/1970,1434,1481,102,-
