#JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,Result,Control,Discipline,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,DispEpoch,DispPeri,DispApo,DispInc,Comment
S25162,1998-008A,[Globalstar M1],2/14/1998,2005 May 26,2005 May 26,2007 Oct 29,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/341,  113.0 ,    1328,    1400, 52.0 ,10/31/2007,1514,1516,52.01,-
S25163,1998-008B,[Globalstar M2],2/14/1998,2005 Aug,2005 Aug?,2005 Aug 27,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/341,  113.0 ,    1328,    1400, 52.0 ,8/29/2005,1407,1412,52,-
S25164,1998-008C,[Globalstar M3],2/14/1998,2005 Jul 15,2001 Nov,2005 Jul 15,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/341,  113.0 ,    1328,    1400, 52.0 ,7/17/2005,1807,1809,52,-
S25165,1998-008D,[Globalstar M4],2/14/1998,2006 Aug,2010 May 15,2010 May 15,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/341,  113.0 ,    1328,    1400, 52.0 ,5/17/2010,1624,1631,51.99,-
S25306,1998-023A,[Globalstar M6],4/24/1998,2001 Oct  1,2001 Oct  1,2001 Oct  1,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/344,  113.0 ,    1328,    1400, 52.0 ,10/5/2001,1506,1555,52,-
S25307,1998-023B,[Globalstar M8],4/24/1998,2016 Feb,2016 Feb 19,2016 Mar 25,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/344,  113.0 ,    1328,    1400, 52.0 ,3/27/2016,1872,1874,52,-
S25308,1998-023C,[Globalstar M14],4/24/1998,2006 Aug,2010 Dec 22,2011 Jan  8,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/344,  113.0 ,    1328,    1400, 52.0 ,1/10/2011,1771,1774,51.99,-
S25309,1998-023D,[Globalstar M15],4/24/1998,2006 Aug,2009 Oct 15,2011 Apr  8,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/344,  113.0 ,    1328,    1400, 52.0 ,4/10/2011,1490,1515,51.99,-
S25621,1999-004A,Globalstar M023,2/9/1999,2004 Feb?,2004 Feb 18,2004 Feb 18,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,4/3/2004,1412,1421,52.01,-
S25622,1999-004B,Globalstar M040,2/9/1999,2010 Aug?,2009 Aug 27,2009 Aug 27,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,1/2/2011,1415,1416,52,-
S25623,1999-004C,Globalstar M036,2/9/1999,2013 Jan 20,2010 Sep 30,2013 Jan 20,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,1/11/2011,1541,1544,52,-
S25624,1999-004D,Globalstar M038,2/9/1999,2013 May 31,2010 Jul?,2013 May 31,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,8/8/2010,1453,1454,52,-
S25649,1999-012A,Globalstar M022,3/15/1999,2006 Aug,2008 Jan,2010 Jun 18,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,6/20/2010,1668,1671,52,-
S25650,1999-012B,Globalstar M041,3/15/1999,2006 Aug,2010 May 11,2012 Dec  3,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,5/13/2010,1535,1536,52.01,-
S25651,1999-012C,Globalstar M046,3/15/1999,2010 Aug,2010 Oct  8,2012 Sep 12,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,3/27/2011,1593,1595,52,-
S25652,1999-012D,Globalstar M037,3/15/1999,2010 Aug,2011 Aug?,2011 Sep 14,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,9/16/2011,1412,1414,52,-
S25676,1999-019A,Globalstar M045,4/15/1999,2010 Aug,2013 Jul 25,2013 Sep  6,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,9/8/2013,1563,1563,52,-
S25677,1999-019B,Globalstar M019,4/15/1999,2006 Aug,2010 Jun 19,2014 Sep  3,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,8/21/2010,1522,1524,51.99,-
