#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S07298	1974-033A	[SMS 1]	1974 May 17 	1981 Jan 29	1981 Jan 29	1981 Jan 29	-	GOES	-	-	-	C	MET	U	-	-	US	A/AC.105/INF.297	 1420.8 	   35455	   35519	  2.0 	1977 Jan 26 	   35705	   35866	  2.29 	-
S07648	1975-011A	[SMS 2]	1975 Feb  6 	1982 Oct	1982 Oct	1982 Oct	-	GOES	-	-	-	C	MET	U	-	-	US	A/AC.105/INF.317	 1436.3 	   35780	   35800	  1.0 	1977 Jan 24 	   35773	   35795	  0.52 	-
S08366	1975-100A	[GOES 1]	1975 Oct 16 	1985 Feb	1985 Feb	1985 Feb	-	GOES	-	-	M	C	MET	U	-	-	US	A/AC.105/INF.335	 1435.9 	   35769	   35796	  1.0 	1985 Feb  2 	   35764	   35795	  4.97 	-
S10061	1977-048A	[GOES 2]	1977 Jun 16 	2001 May  5	2001 May  5	2001 May  5	-	GOES	-	-	M	C	MET	U	-	-	US	ST/SG/SER.E/005	 1436.1 	   35268	   36306	  0.9 	2001 May  8 	   36059	   36141	 13.91 	-
S10953	1978-062A	[GOES 3]	1978 Jun 16 	2016 Jun	2016 Jun 23	2016 Jun 30	-	GOES	-	-	M	C	MET	U	-	-	US	ST/SG/SER.E/016	  649.0 	     791	   36709	 23.9 	2016 Jul  7 	   36034	   36053	 13.82 	-
S11964	1980-074A	[GOES 4]	1980 Sep  9 	1988 Nov 25	1988 Nov 25	1988 Nov 25	-	GOES D	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/044	 1441.9 	   35791	   36008	  0.2 	1988 Nov 28 	   35942	   36219	  4.98 	-
S12472	1981-049A	[GOES 5]	1981 May 22 	1990 Jul 18	1990 Jul 18	1990 Jul 18	-	GOES D	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/054	 1619.9 	   33800	   44821	  0.5 	1990 Jul 20 	   35795	   35811	  3.55 	-
S14050	1983-041A	[GOES 6]	1983 Apr 28 	1992 May	1992 May	1992 May	-	GOES D	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/096	 1706.7 	   33378	   48484	  0.4 	1992 May  4 	   35776	   35788	  3.91 	-
S17561	1987-022A	[GOES 7]	1987 Feb 26 	2011 Jan	1999	2012 Apr 12	-	GOES D	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/166	 1382.1 	   33363	   36084	  0.6 	2012 Apr 14 	   35865	   35914	 13.80 	-
S23051	1994-022A	[GOES 8]	1994 Apr 13 	2004 May  5	2004 May  5	2004 May  5	-	GOES Next	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/276	 1433.7 	   35293	   36184	  0.4 	2004 May 11 	   36047	   36100	  1.40 	-
S23581	1995-025A	[GOES 9]	1995 May 23 	2007 Jun	2007 Jun 15	2007 Jun 15	-	GOES Next	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/293	 1604.2 	   35614	   42419	  0.2 	2007 Jun 17 	   36191	   36217	  3.45 	-
S24786	1997-019A	[GOES 10]	1997 Apr 25 	2009 Dec  2	2009 Dec  1	2009 Dec   2	-	GOES Next	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/329	 1436.2 	     163	   42326	  0.4 	2009 Dec  4 	   36116	   36138	  3.94 	-
S26352	2000-022A	[GOES 11]	2000 May  3 	2006 Aug	2011 Dec  6	2011 Dec 16	-	GOES Next	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/379	 1436.2 	   35782	   35797	  0.2 	2011 Dec 18 	   35951	   36263	  0.51 	-
S26871	2001-031A	[GOES 12]	2001 Jul 23 	2013 Aug	2013 Aug 16	2013 Aug 16	-	GOES Next	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/400	 1436.1 	   35770	   35803	  0.3 	2013 Aug 21 	   36090	   36126	  3.62 	Weather satellite
