#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S10684	1978-020A	-	1978 Feb 22 	1985 Jul 17	1985 Jul 17	1985 Jul 17	-	GPS I	2	-	-	D	NAV	U	-	-	US	ST/SG/SER.E/007	  718.0 	   20183	   20183	 63.0 	1978 Feb 25 	   19750	   19958	 63.27 	-
S10893	1978-047A	-	1978 May 13 	1988 Feb 12	1988 Feb 12	1988 Feb 12	Z	GPS I	2	-	-	D	NAV	U	-	-	US	ST/SG/SER.E/012	  718.0 	   20180	   20182	 62.9 	1978 May 16 	   20014	   20135	 63.13 	-
S11054	1978-093A	-	1978 Oct  7 	1992 May 18	1992 May 18	1992 May 18	-	GPS I	2	-	-	D	NAV	U	-	-	US	ST/SG/SER.E/019	  350.5 	     159	   20048	 62.9 	1978 Oct 17 	   20283	   20309	 62.81 	-
S11141	1978-112A	-	1978 Dec 11 	1989 Oct 14	1989 Oct 14	1989 Oct 14	-	GPS I	2	-	-	D	NAV	U	-	-	US	ST/SG/SER.E/021	  722.4 	   20283	   20298	 63.3 	1978 Dec 13 	     166	   20356	 63.27 	-
S11690	1980-011A	-	1980 Feb  9 	1984 May 11	1984 May 11	1984 May 11	-	GPS I	2	-	-	D	NAV	S	-	-	US	ST/SG/SER.E/037	  715.9 	   20095	   20165	 63.7 	1980 Feb 13 	   20082	   20146	 63.72 	-
S11783	1980-032A	-	1980 Apr 26 	1991 Mar  6	1991 Mar  6	1991 Mar  6	-	GPS I	2	-	-	D	NAV	S	-	-	US	ST/SG/SER.E/038	  707.6 	   19622	   20231	 62.9 	1980 Apr 28 	     170	   20287	 63.03 	-
S14189	1983-072A	-	1983 Jul 14 	1993 May  4	1993 May  4	1993 May  4	-	GPS I	2	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/097	  718.0 	   19920	   20442	 62.8 	1993 May  7 	   19822	   20541	 63.97 	-
S15039	1984-059A	-	1984 Jun 13 	1994 Jun 20	1994 Jun 20	1994 Jun 20	-	GPS I	2	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/110	  718.0 	   20008	   20354	 62.6 	1994 Jun 22 	   20712	   21165	 64.33 	-
S15271	1984-097A	-	1984 Sep  8 	1996 Mar 26	1995 Nov 18	1996 Mar 26	-	GPS I	2	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/116	  718.0 	   19960	   20404	 63.3 	1996 Mar 28 	   19757	   20598	 62.04 	-
S16129	1985-093A	[Navstar 11]	1985 Oct  9 	1994 Apr 13	1994 Apr 13	1994 Apr 13	-	GPS I	2	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/143	  717.9 	   19822	   20540	 63.4 	1994 Apr 15 	   20459	   21243	 64.74 	-
S19802	1989-013A	[USA 35]	1989 Feb 14 	2000 Apr 14	2000 Apr 14	2000 Apr 14	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/212	  715.0 	   19868	   20350	 55.1 	2000 Apr 17 	   20175	   20189	 56.16 	-
S20061	1989-044A	[USA 38]	1989 Jun 10 	2004 May 12	2004 May 12	2004 May 12	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/212	  717.5 	   19970	   20368	 54.6 	2004 May 16 	   19549	   20819	 53.43 	-
S20185	1989-064A	[USA 42]	1989 Aug 18 	2000 Oct 13	2000 Oct 13	2000 Oct 13	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/212	  714.8 	   20017	   20188	 55.0 	2000 Oct 16 	   21505	   21579	 56.06 	-
S20302	1989-085A	[USA 47]	1989 Oct 21 	2001 Nov	2001 Sep 11	2001 Nov	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/220	  723.2 	   20161	   20461	 54.8 	2001 Dec 27 	   21195	   21230	 53.27 	-
S20361	1989-097A	[USA 49]	1989 Dec 11 	2005 Jun 22	2005 Feb 22	2005 Jun 22	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/220	  718.1 	   20010	   20359	 54.9 	2005 Jun 24 	   21224	   21236	 55.19 	-
S20452	1990-008A	[USA 50]	1990 Jan 24 	2000 Dec  5	2000 Aug 18	2000 Dec	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/250	  706.2 	   19671	   20110	 54.8 	2000 Dec  5 	   19967	   20390	 54.39 	-
S20533	1990-025A	[USA 54]	1990 Mar 26 	1996 May 21	1996 May 21	1996 Dec 12	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/250	  355.0 	     170	   20289	 37.6 	1996 Dec 18 	   20074	   20288	 54.43 	-
S20724	1990-068A	[USA 63]	1990 Aug  2 	2003 Jan 27	2003 Jan 27	2003 May 28	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/250	  718.0 	   19940	   20451	 54.7 	2003 Jun  3 	   21315	   21551	 56.21 	-
S20830	1990-088A	[USA 64]	1990 Oct  1 	2006 Jul	2007 Mar 14	2007 Mar 14	-	GPS II	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/250	  717.9 	   19980	   20408	 54.9 	2007 Mar 16 	   19910	   20452	 54.64 	-
