#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S20959	1990-103A	[USA 66]	1990 Nov 26 	2001 Jun	2016 Feb	2016 Feb	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/258	  357.2 	     186	   20410	 34.6 	2016 Feb  2 	   19881	   20481	 54.25 	-
S21552	1991-047A	[Navstar 2A-02]	1991 Jul  4 	2011 Jun	2011 Nov  4	2011 Nov  4	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/258	  355.7 	     190	   20320	 34.5 	2011 Nov 10 	   19995	   20363	 54.24 	-
S21890	1992-009A	[USA 79]	1992 Feb 23 	2006 Jul	2009 Dec 18	2009 Dec 18	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/258	  714.8 	   19894	   20313	 54.7 	2009 Dec 20 	   19871	   20493	 55.69 	-
S21930	1992-019A	[USA 80]	1992 Apr 10 	2006 Apr	1997 May  5	2006?	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/258	  358.4 	     188	   20485	 34.6 	2006 Jan  2 	   19973	   20391	 54.13 	-
S22014	1992-039A	[USA 83]	1992 Jul  7 	2015 Jan	2015 Jan  6	2015 Jan  6	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/260	  357.7 	     167	   20462	 34.5 	2015 Jan  8 	   19616	   20748	 55.73 	-
S22108	1992-058A	[USA 84]	1992 Sep  9 	2011 Dec	2012 Oct  6	2017 Apr 18	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/260	  357.0 	     182	   20404	 34.7 	2017 Apr 25 	   19528	   20829	 55.49 	-
S22231	1992-079A	[USA 85]	1992 Nov 22 	2008 Mar	2008 Mar 17	2008 Mar 17	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/267	  355.7 	     162	   20344	 34.7 	2008 Mar 19 	   19989	   20373	 56.80 	-
S22275	1992-089A	[USA 87]	1992 Dec 18 	2006 Jul	2007 Oct 23	2007 Oct 23	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/267	  357.9 	     187	   20455	 34.9 	2007 Oct 25 	   19901	   20463	 56.69 	-
S22446	1993-007A	[Navstar 2A-09]	1993 Feb  3 	2003 Nov	2003 Aug  6	2003 Nov 17	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/267	  355.3 	     144	   20335	 35.4 	2003 Dec  6 	   21290	   21396	 53.36 	-
S22581	1993-017A	[Navstar 2A-10]	1993 Mar 30 	2005 Dec 14	2005 Oct 24	2005 Dec 14	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/269	  354.5 	      32	   20399	 32.8 	2005 Dec 17 	   21253	   21267	 53.53 	-
S22657	1993-032A	[USA 91]	1993 May 13 	2006 Jul	2007 Dec 20	2016 Mar	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/269	  355.8 	     175	   20334	 34.8 	2016 Mar  8 	   19962	   20403	 54.71 	-
S22700	1993-042A	[Navstar 2A-12]	1993 Jun 26 	2011 Jun	2014 May 19	2014 May 19	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/271	  356.8 	     188	   20387	 34.8 	2014 May 21 	   19732	   20632	 56.27 	-
S22779	1993-054A	[Navstar 2A-13]	1993 Aug 30 	2014 Sep	2013 May  1	2013 May  1	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/271	  355.8 	     194	   20320	 34.8 	2013 May  4 	   19895	   20468	 55.22 	-
S22877	1993-068A	[Navstar 2A 14]	1993 Oct 26 	2019 Oct	2019 Oct  7	2020 Apr 20	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/274	  356.4 	     187	   20362	 34.9 	2020 Apr 27 	   21273	   21326	 55.02 	-
