#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S41917	2017-003A	Iridium 106	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   97.1 	     616	     700	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S41918	2017-003B	Iridium 103	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.8 	     620	     636	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S41919	2017-003C	Iridium 109	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.8 	     622	     632	 86.7 	2024 Oct 13 	     776	     778	 86.40 	-
S41920	2017-003D	Iridium 102	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.9 	     620	     638	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S41921	2017-003E	Iridium 105	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.9 	     623	     638	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S41922	2017-003F	Iridium 104	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.9 	     626	     638	 86.7 	2024 Oct 13 	     776	     778	 86.40 	-
S41923	2017-003G	Iridium 114	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.9 	     620	     627	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S41924	2017-003H	Iridium 108	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.9 	     624	     639	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S41925	2017-003J	Iridium 112	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.9 	     618	     635	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S41926	2017-003K	Iridium 111	2017 Jan 14 	2023 Feb	*	*	-	Iridium Next	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/803	   96.9 	     626	     640	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S42803	2017-039A	Iridium 113	2017 Jun 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/859	   96.9 	     621	     637	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S42804	2017-039B	Iridium 123	2017 Jun 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/859	   96.9 	     618	     640	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S42805	2017-039C	Iridium 120	2017 Jun 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/859	   97.0 	     620	     636	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S42806	2017-039D	Iridium 115	2017 Jun 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/859	   96.9 	     624	     639	 86.7 	2024 Oct 13 	     746	     749	 86.45 	-
S42807	2017-039E	Iridium 118	2017 Jun 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/859	   96.9 	     624	     639	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S42808	2017-039F	Iridium 117	2017 Jun 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/859	   96.9 	     623	     636	 86.7 	2024 Oct 13 	     776	     779	 86.39 	-
S42809	2017-039G	Iridium 126	2017 Jun 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/859	   96.9 	     618	     637	 86.7 	2024 Oct 13 	     776	     779	 86.39 	-
