#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S24796	1997-020E	[Iridium 4]	1997 May  5 	2012 Jan	2012 Aug?	2012 Aug?	-	Iridium	C	-	M	B	COM	S	-	-	US	ST/SG/SER.E/329	  100.5 	     641	     780	 86.4 	2012 Aug  2 	     775	     779	 86.40 	-
S24841	1997-030F	Iridium 16	1997 Jun 18 	2005 Apr	2005 Apr?	2011 Sep 21	-	Iridium	D	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2005 Apr  2 	     775	     779	 86.40 	-
S24870	1997-034B	[Iridium 17]	1997 Jul  9 	2005 Aug  8	2005 Aug  8	2005 Aug  8	-	Iridium	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	2005 Sep  2 	     776	     779	 86.40 	-
S24903	1997-043A	[Iridium 26]	1997 Aug 21 	2011 Jul  7	2011 Jul  7	2011 Sep?	-	Iridium	A	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	2011 Sep  2 	     775	     779	 86.39 	-
S24905	1997-082B	[Iridium 24]	1997 Dec 20 	1998 May	1998 May	1998 May	-	Iridium	A	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	1998 May  2 	     775	     779	 86.40 	-
S24944	1997-051A	Iridium 29	1997 Sep 14 	2006 Aug	2014 Jan?	2014 Jan?	-	Iridium	B	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2014 Jan  2 	     776	     779	 86.40 	-
S24948	1997-051E	Iridium 28	1997 Sep 14 	2006 Aug	2008 Jul?	2008 Jul?	-	Iridium	B	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2008 Jul  2 	     775	     779	 86.40 	-
S24967	1997-056C	[Iridium 36]	1997 Sep 27 	2006 Aug	2006 Dec 14	2006 Dec 14?	-	Iridium	C	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.4 	     780	     780	 86.4 	2006 Dec 16 	     776	     779	 86.40 	-
S25042	1997-069D	[Iridium 39]	1997 Nov  9 	2006 Aug	2016 Jun 18	2016 Jul  6?	-	Iridium	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	2016 Jul  8 	     724	     752	 86.39 	-
S25043	1997-069E	[Iridium 38]	1997 Nov  9 	2003 Aug?	2003 Aug?	2003 Aug?	-	Iridium	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	2003 Aug  3 	     776	     779	 86.40 	-
S25077	1997-077A	Iridium 42	1997 Dec  8 	2006 Aug	2014 Aug?	2014 Aug?	-	Iridium	E	-	M	B	COM	S	-	-	CN*	ST/SG/SER.E/356	  100.0 	     628	     632	 86.3 	2014 Aug  2 	     776	     779	 86.40 	-
S25106	1997-082C	[Iridium 47]	1997 Dec 20 	2006 Aug	2018 May  6?	2018 Aug 26	-	Iridium	A	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	2018 Aug 28 	     155	     456	 86.41 	-
S25273	1998-019B	[Iridium 57]	1998 Mar 30 	2016 Jul 20	2016 Jul 20	2016 Jul 20	-	Iridium	B	-	M	B	COM	S	-	-	US	ST/SG/SER.E/341	  100.5 	     780	     780	 86.4 	2016 Jul 22 	     776	     779	 86.39 	-
S25286	1998-021B	Iridium 63	1998 Apr  7 	2006 Aug	2014 Aug 25?	2014 Aug 25?	-	Iridium	F	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2014 Aug 27 	     776	     779	 86.40 	-
