#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S24792	1997-020A	[Iridium 8]	1997 May  5 	2017 Nov	2017 Nov	2017 Nov	-	Iridium	C	-	M	B	COM	S	-	-	US	ST/SG/SER.E/329	  100.5 	     643	     780	 86.4 	2017 Nov  2 	     559	     715	 86.39 	-
S24793	1997-020B	[Iridium 7]	1997 May  5 	2017 May	2017 Jun  1	2017 Jun  1?	-	Iridium	C	-	M	B	COM	S	-	-	US	ST/SG/SER.E/329	  100.5 	     643	     780	 86.4 	2017 Jun  3 	     776	     779	 86.39 	-
S24794	1997-020C	[Iridium 6]	1997 May  5 	2017 Nov	2017 Nov 19	2017 Dec  3	-	Iridium	C	-	M	B	COM	S	-	-	US	ST/SG/SER.E/329	  100.5 	     640	     780	 86.4 	2017 Dec  5 	     171	     668	 86.39 	-
S24795	1997-020D	[Iridium 5]	1997 May  5 	2017 Nov	2017 Nov 15	2017 Nov 21?	-	Iridium	C	-	M	B	COM	S	-	-	US	ST/SG/SER.E/329	  100.5 	     641	     780	 86.4 	2017 Nov 23 	     531	     728	 86.40 	-
S24796	1997-020E	[Iridium 4]	1997 May  5 	2012 Jan	2012 Aug?	2012 Aug?	-	Iridium	C	-	M	B	COM	S	-	-	US	ST/SG/SER.E/329	  100.5 	     641	     780	 86.4 	2012 Aug  2 	     775	     779	 86.40 	-
S24836	1997-030A	Iridium 914	1997 Jun 18 	1998 Aug 29	1998 Aug 29	1998 Aug 29	-	Iridium	D	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	1998 Nov  2 	     774	     780	 86.39 	-
S24837	1997-030B	Iridium 12	1997 Jun 18 	2006 Aug	2018 Aug 15	2018 Aug 22	-	Iridium	D	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2018 Aug 24 	     158	     627	 86.41 	-
S24838	1997-030C	Iridium 9	1997 Jun 18 	2000 Oct?	2000 Oct?	2000 Oct?	-	Iridium	D	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2000 Oct  4 	     745	     750	 86.46 	-
S24839	1997-030D	Iridium 10	1997 Jun 18 	2018 Sep	2018 Sep 13	2018 Sep 21	-	Iridium	D	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2018 Sep 23 	     165	     627	 86.40 	-
S24840	1997-030E	Iridium 13	1997 Jun 18 	2018 Mar 17	2018 Mar 17	2018 Mar 23	-	Iridium	D	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2018 Mar 25 	     176	     711	 86.40 	-
S24841	1997-030F	Iridium 16	1997 Jun 18 	2005 Apr	2005 Apr?	2011 Sep 21	-	Iridium	D	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	2005 Apr  2 	     775	     779	 86.40 	-
S24842	1997-030G	Iridium 911	1997 Jun 18 	1997 Sep?	1997 Sep?	1998 Apr 19	-	Iridium	D	-	M	B	COM	S	-	-	US	ST/SG/SER.E/688	-	-	-	-	1997 Sep  4 	     779	     784	 86.40 	-
S24869	1997-034A	[Iridium 15]	1997 Jul  9 	2006 Aug	2017 Apr?	2018 Oct  3	-	Iridium	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	2018 Oct  5 	     159	     660	 86.42 	-
S24870	1997-034B	[Iridium 17]	1997 Jul  9 	2005 Aug  8	2005 Aug  8	2005 Aug  8	-	Iridium	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	2005 Sep  2 	     776	     779	 86.40 	-
S24871	1997-034C	[Iridium 20]	1997 Jul  9 	1998 Apr	1998 Apr	1998 Apr	-	Iridium	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	1998 Apr  5 	     774	     778	 86.39 	-
S24872	1997-034D	[Iridium 18]	1997 Jul  9 	2017 May	2017 May?	2018 Jun 11	-	Iridium	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	2018 Jun 13 	     199	     653	 86.38 	-
S24873	1997-034E	[Iridium 21]	1997 Jul  9 	1997 Jul	1997 Jul	1997 Jul	-	Iridium	E	-	M	B	COM	S	-	-	US	ST/SG/SER.E/339	  100.5 	     780	     780	 86.4 	1997 Jul 11 	     625	     642	 86.40 	-
