name,constellation,status,a_km,e,i_deg,raan_deg,aop_deg,ma_deg
GPS-IIR-01,GPS_LEGACY,active,26559.7,0.001,55.0,0.0,0.0,0.0
GPS-IIR-02,GPS_LEGACY,active,26559.7,0.001,55.0,0.0,0.0,90.0
GPS-IIR-03,GPS_LEGACY,active,26559.7,0.001,55.0,60.0,0.0,15.0
GPS-IIR-04,GPS_LEGACY,active,26559.7,0.001,55.0,60.0,0.0,105.0
GPS-IIA-01,GPS_DECOMM,decommissioned,26559.7,0.002,55.0,30.0,0.0,45.0
GPS-IIA-02,GPS_DECOMM,decommissioned,26559.7,0.002,55.0,90.0,0.0,135.0
IRIDIUM-101,IRIDIUM,active,7158.137,0.0001,86.4,0.0,90.0,0.0
IRIDIUM-102,IRIDIUM,active,7158.137,0.0001,86.4,0.0,90.0,32.73
IRIDIUM-OLD-01,IRIDIUM_DECOMM,decommissioned,7158.137,0.001,86.4,5.0,90.0,20.0
GLOBALSTAR-M001,GLOBALSTAR,active,7792.137,0.0001,52.0,0.0,0.0,0.0
GOES-EAST,GOES,active,42164.0,0.0001,0.05,0.0,0.0,105.0
GOES-WEST,GOES,active,42164.0,0.0001,0.05,0.0,0.0,43.0
WGS-1,WGS,active,42164.0,0.0001,0.05,0.0,0.0,168.0
TDRS-3,TDRSS,active,42164.0,0.0001,2.0,0.0,0.0,134.0
NOAA-20,JPSS,active,7202.137,0.0001,98.7,0.0,0.0,0.0
NOAA-15,POES,active,7228.137,0.001,98.7,0.0,0.0,0.0
