#JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,Result,Control,Discipline,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,DispEpoch,DispPeri,DispApo,DispInc,Comment
S13969,1983-026B,[TDRS-1],4/4/1983,3/1/2018,2009 Oct 12,2009 Oct 12,Z,TDRS,-,-,M,C,COM,S,-,-,US,ST/SG/SER.E/096,1433.8,35661,35823,1.4,10/14/2009,35654,35918,13.43,-
S19548,1988-091B,[TDRS 3],9/29/1988,2/4/2023,*,*,-,TDRS,-,-,M,C,COM,S,-,-,US,ST/SG/SER.E/208,1434.8,35719,35893,0.1,10/12/2024,35636,35941,13.07,-
S19883,1989-021B,[TDRS-4],3/13/1989,12/1/2011,2011 Dec  1,2011 Dec  9,-,TDRS,-,-,M,C,COM,S,-,-,US,ST/SG/SER.E/212,1433.5,35645,35825,0.2,12/11/2011,36241,36351,10.62,-
S21639,1991-054B,[TDRS F5],8/2/1991,2/5/2023,*,*,-,TDRS,-,-,M,C,COM,S,-,-,US,ST/SG/SER.E/258,1435.9,35772,37798,0.1,10/12/2024,35758,35811,14.15,-
S22314,1993-003B,[TDRS 6],1/13/1993,2/5/2023,*,*,-,TDRS,-,-,M,C,COM,S,-,-,US,ST/SG/SER.E/267,1436.4,35784,35802,0.1,10/12/2024,35739,35835,14.17,-
S23613,1995-035B,[TDRS],7/13/1995,2/5/2023,*,*,-,TDRS,-,-,M,C,COM,S,-,-,US,ST/SG/SER.E/301,1436.2,35790,35790,0,10/12/2024,35688,35883,13.63,-
S26388,2000-034A,[TDRS 8],6/30/2000,2/5/2023,*,*,-,TDRS,-,-,M,C,COM,S,WSMR,-,US,ST/SG/SER.E/379,1435.9,35617,35950,7,10/12/2024,35762,35813,11.72,-
S27389,2002-011A,[TDRS 9],3/8/2002,1/6/2023,2023 Jan  6,2023 Jan 29,-,TDRS,-,-,M,C,COM,S,WSMR,-,US,ST/SG/SER.E/412,697.1,3523,35805,21.4,1/31/2023,36144,36161,9.51,-
S27566,2002-055A,TDRS 10,12/5/2002,8/3/2025,2025 Jul 13,2025 Aug 15,-,TDRS,-,-,M,C,COM,S,WSMR,-,US,ST/SG/SER.E/428,549,225,31453,27,10/12/2024,35775,35794,9.78,-
S39070,2013-004A,TDRS 11,1/31/2013,2/10/2023,*,*,-,TDRS,-,-,M,C,COM,S,WSMR,-,US,ST/SG/SER.E/724,713.3,4337,35796,25.7,10/12/2024,35773,35800,2.81,-
S39504,2014-004A,TDRS 12,1/24/2014,2/22/2023,*,*,-,TDRS,-,-,M,C,COM,S,WSMR,-,US,ST/SG/SER.E/739,749,4682,34732,25.4,10/12/2024,35760,35809,3.57,-
S42915,2017-047A,TDRS 13,8/18/2017,2/25/2023,*,*,-,TDRS,-,-,M,C,COM,S,-,-,US,ST/SG/SER.E/859,718.8,4648,35757,26.2,10/12/2024,35726,35846,3.56,-
