#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S13969	1983-026B	[TDRS-1]	1983 Apr  4 	2018 Mar	2009 Oct 12	2009 Oct 12	Z	TDRS	-	-	M	C	COM	S	-	-	US	ST/SG/SER.E/096	 1433.8 	   35661	   35823	  1.4 	2009 Oct 14 	   35654	   35918	 13.43 	-
S19548	1988-091B	[TDRS 3]	1988 Sep 29 	2023 Feb  4	*	*	-	TDRS	-	-	M	C	COM	S	-	-	US	ST/SG/SER.E/208	 1434.8 	   35719	   35893	  0.1 	2024 Oct 12 	   35636	   35941	 13.07 	-
S19883	1989-021B	[TDRS-4]	1989 Mar 13 	2011 Dec  1	2011 Dec  1	2011 Dec  9	-	TDRS	-	-	M	C	COM	S	-	-	US	ST/SG/SER.E/212	 1433.5 	   35645	   35825	  0.2 	2011 Dec 11 	   36241	   36351	 10.62 	-
S21639	1991-054B	[TDRS F5]	1991 Aug  2 	2023 Feb  5	*	*	-	TDRS	-	-	M	C	COM	S	-	-	US	ST/SG/SER.E/258	 1435.9 	   35772	   37798	  0.1 	2024 Oct 12 	   35758	   35811	 14.15 	-
S22314	1993-003B	[TDRS 6]	1993 Jan 13 	2023 Feb  5	*	*	-	TDRS	-	-	M	C	COM	S	-	-	US	ST/SG/SER.E/267	 1436.4 	   35784	   35802	  0.1 	2024 Oct 12 	   35739	   35835	 14.17 	-
S23613	1995-035B	[TDRS]	1995 Jul 13 	2023 Feb  5	*	*	-	TDRS	-	-	M	C	COM	S	-	-	US	ST/SG/SER.E/301	 1436.2 	   35790	   35790	  0.0 	2024 Oct 12 	   35688	   35883	 13.63 	-
S26388	2000-034A	[TDRS 8]	2000 Jun 30 	2023 Feb  5	*	*	-	TDRS	-	-	M	C	COM	S	WSMR	-	US	ST/SG/SER.E/379	 1435.9 	   35617	   35950	  7.0 	2024 Oct 12 	   35762	   35813	 11.72 	-
S27389	2002-011A	[TDRS 9]	2002 Mar  8 	2023 Jan  6	2023 Jan  6	2023 Jan 29	-	TDRS	-	-	M	C	COM	S	WSMR	-	US	ST/SG/SER.E/412	  697.1 	    3523	   35805	 21.4 	2023 Jan 31 	   36144	   36161	  9.51 	-
S27566	2002-055A	TDRS 10	2002 Dec  5 	2025 Aug  3	2025 Jul 13	2025 Aug 15	-	TDRS	-	-	M	C	COM	S	WSMR	-	US	ST/SG/SER.E/428	  549.0 	     225	   31453	 27.0 	2024 Oct 12 	   35775	   35794	  9.78 	-
S39070	2013-004A	TDRS 11	2013 Jan 31 	2023 Feb 10	*	*	-	TDRS	-	-	M	C	COM	S	WSMR	-	US	ST/SG/SER.E/724	  713.3 	    4337	   35796	 25.7 	2024 Oct 12 	   35773	   35800	  2.81 	-
S39504	2014-004A	TDRS 12	2014 Jan 24 	2023 Feb 22	*	*	-	TDRS	-	-	M	C	COM	S	WSMR	-	US	ST/SG/SER.E/739	  749.0 	    4682	   34732	 25.4 	2024 Oct 12 	   35760	   35809	  3.57 	-
S42915	2017-047A	TDRS 13	2017 Aug 18 	2023 Feb 25	*	*	-	TDRS	-	-	M	C	COM	S	-	-	US	ST/SG/SER.E/859	  718.8 	    4648	   35757	 26.2 	2024 Oct 12 	   35726	   35846	  3.56 	-
