#JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,Result,Control,Discipline,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,DispEpoch,DispPeri,DispApo,DispInc,Comment
S32258,2007-046A,WGS F1 (USA 195),10/11/2007,2/5/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/534,1306.7,392,65303,20.5,10/12/2024,35783,35790,0.14,-
S34713,2009-017A,WGS F2 (USA 204),4/4/2009,2/6/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/573,116.3,168,2865,26.9,10/12/2024,35783,35791,0.02,-
S36108,2009-068A,WGS F3 (USA 211),12/6/2009,2/7/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/590,1212.5,424,62152,24,10/12/2024,35925,35954,0.18,-
S38070,2012-003A,USA 233,1/20/2012,2/8/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/650,1332.4,503,66960,23.9,10/12/2024,35785,35790,0.02,-
S39168,2013-024A,WGS 5,5/25/2013,2/11/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/725,1421.8,920,70093,24,10/12/2024,35786,35789,0.02,-
S39222,2013-041A,WGS 6,8/8/2013,2/11/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/736,1349.8,569,67592,23.9,10/12/2024,35786,35787,0.02,-
S40746,2015-036A,WGS 7 (USA 263),7/24/2015,2/23/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/796,1314.4,587,66151,24.1,10/12/2024,35778,35789,0.01,-
S41879,2016-075A,WGS 8 (USA 272),12/7/2016,2/22/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/802,0,0,0,0,10/12/2024,35786,35787,0.01,CONCEALED ORBIT
S42075,2017-016A,WGS 9 (USA 275),3/19/2017,2/25/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/803,809.2,471,44303,27,10/12/2024,35786,35787,0.01,-
S44071,2019-014A,WGS 10 (USA 291),3/16/2019,2/26/2023,*,*,-,WGS,-,-,M,D,COM,S,-,-,US,ST/SG/SER.E/924,1434.6,27332,44182,0.2,10/12/2024,35786,35787,0.01,-
